#NEi 400
#NR 1
#lmax 2
#mmax 2

R l=0,m=0_x l=0,m=0_y l=0,m=0_z l=1,m=-1_x l=1,m=-1_y l=1,m=-1_z l=1,m=0_x l=1,m=0_y l=1,m=0_z l=1,m=1_x l=1,m=1_y l=1,m=1_z l=2,m=-2_x l=2,m=-2_y l=2,m=-2_z l=2,m=-1_x l=2,m=-1_y l=2,m=-1_z l=2,m=0_x l=2,m=0_y l=2,m=0_z l=2,m=1_x l=2,m=1_y l=2,m=1_z l=2,m=2_x l=2,m=2_y l=2,m=2_z 
1.0 (1.05604e-05,1.86849e-05) (-1.54171e-09,5.38986e-10) (-0.0114036,-0.0220893) (0.00691582,0.00536013) (-0.00521188,0.00673742) (9.24116e-06,6.19526e-06) (4.66748e-05,2.13361e-05) (-2.13053e-09,-2.61075e-10) (-0.125471,0.00666931) (-0.00691583,-0.00536031) (-0.0052117,0.00673742) (-9.22347e-06,-6.18076e-06) (6.83724e-05,1.93861e-05) (-1.93483e-05,6.8123e-05) (1.24388e-08,-1.97389e-06) (0.00425936,0.0150656) (-0.0150781,0.00425927) (3.89884e-06,8.62097e-06) (-4.51222e-05,4.8587e-05) (3.45424e-10,-2.14803e-09) (0.0842292,-0.0261947) (-0.00425943,-0.0150656) (-0.0150781,0.0042592) (-3.89997e-06,-8.62778e-06) (6.83756e-05,1.9385e-05) (1.93465e-05,-6.81255e-05) (-1.05485e-06,-2.15829e-06) 
(1.05604e-05,1.86849e-05) (-1.54171e-09,5.38986e-10) (-0.0114036,-0.0220893) (0.00691582,0.00536013) (-0.00521188,0.00673742) (9.24116e-06,6.19526e-06) (4.66748e-05,2.13361e-05) (-2.13053e-09,-2.61075e-10) (-0.125471,0.00666931) (-0.00691583,-0.00536031) (-0.0052117,0.00673742) (-9.22347e-06,-6.18076e-06) (6.83724e-05,1.93861e-05) (-1.93483e-05,6.8123e-05) (1.24388e-08,-1.97389e-06) (0.00425936,0.0150656) (-0.0150781,0.00425927) (3.89884e-06,8.62097e-06) (-4.51222e-05,4.8587e-05) (3.45424e-10,-2.14803e-09) (0.0842292,-0.0261947) (-0.00425943,-0.0150656) (-0.0150781,0.0042592) (-3.89997e-06,-8.62778e-06) (6.83756e-05,1.9385e-05) (1.93465e-05,-6.81255e-05) (-1.05485e-06,-2.15829e-06) 
(1.05604e-05,1.86849e-05) (-1.54171e-09,5.38986e-10) (-0.0114036,-0.0220893) (0.00691582,0.00536013) (-0.00521188,0.00673742) (9.24116e-06,6.19526e-06) (4.66748e-05,2.13361e-05) (-2.13053e-09,-2.61075e-10) (-0.125471,0.00666931) (-0.00691583,-0.00536031) (-0.0052117,0.00673742) (-9.22347e-06,-6.18076e-06) (6.83724e-05,1.93861e-05) (-1.93483e-05,6.8123e-05) (1.24388e-08,-1.97389e-06) (0.00425936,0.0150656) (-0.0150781,0.00425927) (3.89884e-06,8.62097e-06) (-4.51222e-05,4.8587e-05) (3.45424e-10,-2.14803e-09) (0.0842292,-0.0261947) (-0.00425943,-0.0150656) (-0.0150781,0.0042592) (-3.89997e-06,-8.62778e-06) (6.83756e-05,1.9385e-05) (1.93465e-05,-6.81255e-05) (-1.05485e-06,-2.15829e-06) 
(1.05604e-05,1.86849e-05) (-1.54171e-09,5.38986e-10) (-0.0114036,-0.0220893) (0.00691582,0.00536013) (-0.00521188,0.00673742) (9.24116e-06,6.19526e-06) (4.66748e-05,2.13361e-05) (-2.13053e-09,-2.61075e-10) (-0.125471,0.00666931) (-0.00691583,-0.00536031) (-0.0052117,0.00673742) (-9.22347e-06,-6.18076e-06) (6.83724e-05,1.93861e-05) (-1.93483e-05,6.8123e-05) (1.24388e-08,-1.97389e-06) (0.00425936,0.0150656) (-0.0150781,0.00425927) (3.89884e-06,8.62097e-06) (-4.51222e-05,4.8587e-05) (3.45424e-10,-2.14803e-09) (0.0842292,-0.0261947) (-0.00425943,-0.0150656) (-0.0150781,0.0042592) (-3.89997e-06,-8.62778e-06) (6.83756e-05,1.9385e-05) (1.93465e-05,-6.81255e-05) (-1.05485e-06,-2.15829e-06) 
(1.05604e-05,1.86849e-05) (-1.54171e-09,5.38986e-10) (-0.0114036,-0.0220893) (0.00691582,0.00536013) (-0.00521188,0.00673742) (9.24116e-06,6.19526e-06) (4.66748e-05,2.13361e-05) (-2.13053e-09,-2.61075e-10) (-0.125471,0.00666931) (-0.00691583,-0.00536031) (-0.0052117,0.00673742) (-9.22347e-06,-6.18076e-06) (6.83724e-05,1.93861e-05) (-1.93483e-05,6.8123e-05) (1.24388e-08,-1.97389e-06) (0.00425936,0.0150656) (-0.0150781,0.00425927) (3.89884e-06,8.62097e-06) (-4.51222e-05,4.8587e-05) (3.45424e-10,-2.14803e-09) (0.0842292,-0.0261947) (-0.00425943,-0.0150656) (-0.0150781,0.0042592) (-3.89997e-06,-8.62778e-06) (6.83756e-05,1.9385e-05) (1.93465e-05,-6.81255e-05) (-1.05485e-06,-2.15829e-06) 
(1.05604e-05,1.86849e-05) (-1.54171e-09,5.38986e-10) (-0.0114036,-0.0220893) (0.00691582,0.00536013) (-0.00521188,0.00673742) (9.24116e-06,6.19526e-06) (4.66748e-05,2.13361e-05) (-2.13053e-09,-2.61075e-10) (-0.125471,0.00666931) (-0.00691583,-0.00536031) (-0.0052117,0.00673742) (-9.22347e-06,-6.18076e-06) (6.83724e-05,1.93861e-05) (-1.93483e-05,6.8123e-05) (1.24388e-08,-1.97389e-06) (0.00425936,0.0150656) (-0.0150781,0.00425927) (3.89884e-06,8.62097e-06) (-4.51222e-05,4.8587e-05) (3.45424e-10,-2.14803e-09) (0.0842292,-0.0261947) (-0.00425943,-0.0150656) (-0.0150781,0.0042592) (-3.89997e-06,-8.62778e-06) (6.83756e-05,1.9385e-05) (1.93465e-05,-6.81255e-05) (-1.05485e-06,-2.15829e-06) 
(1.05604e-05,1.86849e-05) (-1.54171e-09,5.38986e-10) (-0.0114036,-0.0220893) (0.00691582,0.00536013) (-0.00521188,0.00673742) (9.24116e-06,6.19526e-06) (4.66748e-05,2.13361e-05) (-2.13053e-09,-2.61075e-10) (-0.125471,0.00666931) (-0.00691583,-0.00536031) (-0.0052117,0.00673742) (-9.22347e-06,-6.18076e-06) (6.83724e-05,1.93861e-05) (-1.93483e-05,6.8123e-05) (1.24388e-08,-1.97389e-06) (0.00425936,0.0150656) (-0.0150781,0.00425927) (3.89884e-06,8.62097e-06) (-4.51222e-05,4.8587e-05) (3.45424e-10,-2.14803e-09) (0.0842292,-0.0261947) (-0.00425943,-0.0150656) (-0.0150781,0.0042592) (-3.89997e-06,-8.62778e-06) (6.83756e-05,1.9385e-05) (1.93465e-05,-6.81255e-05) (-1.05485e-06,-2.15829e-06) 
(1.05604e-05,1.86849e-05) (-1.54171e-09,5.38986e-10) (-0.0114036,-0.0220893) (0.00691582,0.00536013) (-0.00521188,0.00673742) (9.24116e-06,6.19526e-06) (4.66748e-05,2.13361e-05) (-2.13053e-09,-2.61075e-10) (-0.125471,0.00666931) (-0.00691583,-0.00536031) (-0.0052117,0.00673742) (-9.22347e-06,-6.18076e-06) (6.83724e-05,1.93861e-05) (-1.93483e-05,6.8123e-05) (1.24388e-08,-1.97389e-06) (0.00425936,0.0150656) (-0.0150781,0.00425927) (3.89884e-06,8.62097e-06) (-4.51222e-05,4.8587e-05) (3.45424e-10,-2.14803e-09) (0.0842292,-0.0261947) (-0.00425943,-0.0150656) (-0.0150781,0.0042592) (-3.89997e-06,-8.62778e-06) (6.83756e-05,1.9385e-05) (1.93465e-05,-6.81255e-05) (-1.05485e-06,-2.15829e-06) 
(1.05604e-05,1.86849e-05) (-1.54171e-09,5.38986e-10) (-0.0114036,-0.0220893) (0.00691582,0.00536013) (-0.00521188,0.00673742) (9.24116e-06,6.19526e-06) (4.66748e-05,2.13361e-05) (-2.13053e-09,-2.61075e-10) (-0.125471,0.00666931) (-0.00691583,-0.00536031) (-0.0052117,0.00673742) (-9.22347e-06,-6.18076e-06) (6.83724e-05,1.93861e-05) (-1.93483e-05,6.8123e-05) (1.24388e-08,-1.97389e-06) (0.00425936,0.0150656) (-0.0150781,0.00425927) (3.89884e-06,8.62097e-06) (-4.51222e-05,4.8587e-05) (3.45424e-10,-2.14803e-09) (0.0842292,-0.0261947) (-0.00425943,-0.0150656) (-0.0150781,0.0042592) (-3.89997e-06,-8.62778e-06) (6.83756e-05,1.9385e-05) (1.93465e-05,-6.81255e-05) (-1.05485e-06,-2.15829e-06) 
(1.05604e-05,1.86849e-05) (-1.54171e-09,5.38986e-10) (-0.0114036,-0.0220893) (0.00691582,0.00536013) (-0.00521188,0.00673742) (9.24116e-06,6.19526e-06) (4.66748e-05,2.13361e-05) (-2.13053e-09,-2.61075e-10) (-0.125471,0.00666931) (-0.00691583,-0.00536031) (-0.0052117,0.00673742) (-9.22347e-06,-6.18076e-06) (6.83724e-05,1.93861e-05) (-1.93483e-05,6.8123e-05) (1.24388e-08,-1.97389e-06) (0.00425936,0.0150656) (-0.0150781,0.00425927) (3.89884e-06,8.62097e-06) (-4.51222e-05,4.8587e-05) (3.45424e-10,-2.14803e-09) (0.0842292,-0.0261947) (-0.00425943,-0.0150656) (-0.0150781,0.0042592) (-3.89997e-06,-8.62778e-06) (6.83756e-05,1.9385e-05) (1.93465e-05,-6.81255e-05) (-1.05485e-06,-2.15829e-06) 
