#NEi 400
#NR 1
#lmax 2
#mmax 2

R l=0,m=0_x l=0,m=0_y l=0,m=0_z l=1,m=-1_x l=1,m=-1_y l=1,m=-1_z l=1,m=0_x l=1,m=0_y l=1,m=0_z l=1,m=1_x l=1,m=1_y l=1,m=1_z l=2,m=-2_x l=2,m=-2_y l=2,m=-2_z l=2,m=-1_x l=2,m=-1_y l=2,m=-1_z l=2,m=0_x l=2,m=0_y l=2,m=0_z l=2,m=1_x l=2,m=1_y l=2,m=1_z l=2,m=2_x l=2,m=2_y l=2,m=2_z 
1.0 (9.75266e-06,-1.42571e-05) (1.79086e-10,1.39692e-10) (0.00341071,-0.00180746) (-0.00277982,-0.00447601) (0.00443745,-0.00275575) (-1.17822e-07,-2.70461e-07) (-2.47791e-06,-1.43512e-06) (-2.34108e-11,-1.07926e-10) (-0.00598195,0.00947877) (0.00277982,0.00447602) (0.00443744,-0.00275575) (1.17908e-07,2.70532e-07) (-2.86738e-06,-1.53604e-06) (1.53758e-06,-2.86085e-06) (-3.29616e-08,-1.36348e-08) (0.00240109,0.00411253) (-0.00411091,0.00240081) (1.64085e-06,2.52902e-06) (-8.69944e-06,-8.87769e-06) (6.499e-11,1.01961e-10) (-0.00116192,-0.00141274) (-0.0024011,-0.00411254) (-0.00411091,0.0024008) (-1.64084e-06,-2.5293e-06) (-2.86759e-06,-1.53578e-06) (-1.53733e-06,2.86105e-06) (-3.72735e-08,-1.18726e-08) 
(9.72154e-06,-1.42753e-05) (1.79098e-10,1.39441e-10) (0.00340707,-0.00180705) (-0.00278125,-0.00447301) (0.0044345,-0.00275718) (-1.18444e-07,-2.71837e-07) (-2.47521e-06,-1.44346e-06) (-2.34105e-11,-1.07989e-10) (-0.00597008,0.00946767) (0.00278125,0.00447302) (0.00443449,-0.00275718) (1.1853e-07,2.71908e-07) (-2.82826e-06,-1.51293e-06) (1.51447e-06,-2.82173e-06) (-3.29402e-08,-1.36723e-08) (0.00240262,0.00411205) (-0.00411044,0.00240234) (1.66366e-06,2.56558e-06) (-8.7032e-06,-8.91802e-06) (6.49965e-11,1.01739e-10) (-0.00116187,-0.00140694) (-0.00240263,-0.00411206) (-0.00411043,0.00240233) (-1.66364e-06,-2.56586e-06) (-2.82847e-06,-1.51268e-06) (-1.51422e-06,2.82193e-06) (-3.72502e-08,-1.19123e-08) 
(9.69036e-06,-1.42932e-05) (1.79111e-10,1.39192e-10) (0.00340343,-0.00180663) (-0.00278267,-0.00447003) (0.00443157,-0.0027586) (-1.19067e-07,-2.73211e-07) (-2.47249e-06,-1.45179e-06) (-2.34097e-11,-1.08051e-10) (-0.00595818,0.00945647) (0.00278267,0.00447004) (0.00443156,-0.0027586) (1.19153e-07,2.73282e-07) (-2.78911e-06,-1.48983e-06) (1.49137e-06,-2.78258e-06) (-3.29187e-08,-1.37094e-08) (0.00240415,0.00411155) (-0.00410994,0.00240387) (1.68645e-06,2.60207e-06) (-8.70697e-06,-8.95824e-06) (6.5004e-11,1.01516e-10) (-0.00116183,-0.00140115) (-0.00240416,-0.00411155) (-0.00410993,0.00240386) (-1.68644e-06,-2.60235e-06) (-2.78932e-06,-1.48958e-06) (-1.49113e-06,2.78278e-06) (-3.72266e-08,-1.19516e-08) 
(9.65912e-06,-1.43109e-05) (1.79123e-10,1.38943e-10) (0.00339979,-0.00180623) (-0.00278408,-0.00446707) (0.00442866,-0.00276002) (-1.19689e-07,-2.74584e-07) (-2.46974e-06,-1.46011e-06) (-2.34084e-11,-1.08112e-10) (-0.00594625,0.00944518) (0.00278408,0.00446708) (0.00442865,-0.00276002) (1.19776e-07,2.74654e-07) (-2.74994e-06,-1.46674e-06) (1.46828e-06,-2.7434e-06) (-3.28969e-08,-1.37463e-08) (0.00240568,0.00411102) (-0.00410941,0.0024054) (1.70924e-06,2.63848e-06) (-8.71076e-06,-8.99835e-06) (6.50125e-11,1.01292e-10) (-0.0011618,-0.00139535) (-0.00240569,-0.00411103) (-0.00410941,0.00240539) (-1.70923e-06,-2.63876e-06) (-2.75015e-06,-1.46649e-06) (-1.46804e-06,2.7436e-06) (-3.72026e-08,-1.19907e-08) 
(9.62782e-06,-1.43285e-05) (1.79136e-10,1.38696e-10) (0.00339616,-0.00180582) (-0.00278549,-0.00446413) (0.00442577,-0.00276144) (-1.20313e-07,-2.75954e-07) (-2.46696e-06,-1.46841e-06) (-2.34067e-11,-1.08171e-10) (-0.00593429,0.00943379) (0.00278549,0.00446414) (0.00442576,-0.00276143) (1.20399e-07,2.76024e-07) (-2.71073e-06,-1.44367e-06) (1.4452e-06,-2.70419e-06) (-3.28749e-08,-1.37827e-08) (0.00240721,0.00411047) (-0.00410886,0.00240692) (1.73202e-06,2.67481e-06) (-8.71455e-06,-9.03835e-06) (6.50218e-11,1.01069e-10) (-0.00116179,-0.00138956) (-0.00240721,-0.00411048) (-0.00410886,0.00240692) (-1.73201e-06,-2.67509e-06) (-2.71094e-06,-1.44341e-06) (-1.44496e-06,2.7044e-06) (-3.71785e-08,-1.20293e-08) 
(9.59647e-06,-1.43458e-05) (1.79149e-10,1.3845e-10) (0.00339253,-0.00180542) (-0.00278689,-0.00446121) (0.00442291,-0.00276284) (-1.20936e-07,-2.77323e-07) (-2.46416e-06,-1.47671e-06) (-2.34044e-11,-1.0823e-10) (-0.0059223,0.00942232) (0.0027869,0.00446122) (0.00442289,-0.00276284) (1.21022e-07,2.77393e-07) (-2.67149e-06,-1.4206e-06) (1.42214e-06,-2.66496e-06) (-3.28527e-08,-1.38188e-08) (0.00240873,0.0041099) (-0.0041083,0.00240845) (1.7548e-06,2.71107e-06) (-8.71835e-06,-9.07824e-06) (6.50322e-11,1.00845e-10) (-0.00116179,-0.00138376) (-0.00240874,-0.00410991) (-0.00410829,0.00240844) (-1.75478e-06,-2.71134e-06) (-2.67171e-06,-1.42035e-06) (-1.42189e-06,2.66516e-06) (-3.7154e-08,-1.20677e-08) 
(9.56506e-06,-1.4363e-05) (1.79162e-10,1.38206e-10) (0.0033889,-0.00180502) (-0.00278829,-0.00445831) (0.00442006,-0.00276424) (-1.2156e-07,-2.7869e-07) (-2.46134e-06,-1.48499e-06) (-2.34018e-11,-1.08287e-10) (-0.00591028,0.00941076) (0.00278829,0.00445832) (0.00442005,-0.00276424) (1.21646e-07,2.78759e-07) (-2.63223e-06,-1.39754e-06) (1.39908e-06,-2.62569e-06) (-3.28302e-08,-1.38546e-08) (0.00241025,0.00410931) (-0.0041077,0.00240997) (1.77756e-06,2.74724e-06) (-8.72217e-06,-9.11802e-06) (6.50434e-11,1.00622e-10) (-0.0011618,-0.00137797) (-0.00241026,-0.00410931) (-0.0041077,0.00240997) (-1.77755e-06,-2.74752e-06) (-2.63244e-06,-1.39729e-06) (-1.39884e-06,2.6259e-06) (-3.71293e-08,-1.21057e-08) 
(9.53359e-06,-1.43799e-05) (1.79175e-10,1.37963e-10) (0.00338528,-0.00180463) (-0.00278968,-0.00445543) (0.00441723,-0.00276564) (-1.22184e-07,-2.80054e-07) (-2.45849e-06,-1.49325e-06) (-2.33986e-11,-1.08344e-10) (-0.00589823,0.00939911) (0.00278968,0.00445544) (0.00441722,-0.00276564) (1.2227e-07,2.80124e-07) (-2.59295e-06,-1.3745e-06) (1.37603e-06,-2.5864e-06) (-3.28076e-08,-1.389e-08) (0.00241178,0.00410869) (-0.00410709,0.0024115) (1.80032e-06,2.78334e-06) (-8.72599e-06,-9.15769e-06) (6.50557e-11,1.00398e-10) (-0.00116182,-0.00137217) (-0.00241178,-0.00410869) (-0.00410708,0.00241149) (-1.80031e-06,-2.78361e-06) (-2.59316e-06,-1.37425e-06) (-1.37579e-06,2.58661e-06) (-3.71043e-08,-1.21433e-08) 
(9.50206e-06,-1.43966e-05) (1.79188e-10,1.37721e-10) (0.00338166,-0.00180423) (-0.00279106,-0.00445257) (0.00441442,-0.00276703) (-1.22808e-07,-2.81417e-07) (-2.45562e-06,-1.50151e-06) (-2.33951e-11,-1.08399e-10) (-0.00588614,0.00938738) (0.00279107,0.00445258) (0.00441441,-0.00276703) (1.22895e-07,2.81487e-07) (-2.55363e-06,-1.35146e-06) (1.353e-06,-2.54709e-06) (-3.27849e-08,-1.3925e-08) (0.0024133,0.00410805) (-0.00410645,0.00241302) (1.82308e-06,2.81936e-06) (-8.72983e-06,-9.19726e-06) (6.50689e-11,1.00174e-10) (-0.00116186,-0.00136638) (-0.00241331,-0.00410806) (-0.00410645,0.00241301) (-1.82306e-06,-2.81963e-06) (-2.55384e-06,-1.35121e-06) (-1.35275e-06,2.54729e-06) (-3.70791e-08,-1.21805e-08) 
(9.47048e-06,-1.44131e-05) (1.79202e-10,1.37481e-10) (0.00337804,-0.00180385) (-0.00279244,-0.00444973) (0.00441163,-0.00276841) (-1.23433e-07,-2.82778e-07) (-2.45272e-06,-1.50975e-06) (-2.33912e-11,-1.08453e-10) (-0.00587402,0.00937555) (0.00279244,0.00444974) (0.00441162,-0.00276841) (1.23519e-07,2.82848e-07) (-2.51429e-06,-1.32844e-06) (1.32997e-06,-2.50775e-06) (-3.27619e-08,-1.39596e-08) (0.00241482,0.00410739) (-0.0041058,0.00241454) (1.84582e-06,2.85529e-06) (-8.73368e-06,-9.23672e-06) (6.50831e-11,9.99497e-11) (-0.00116191,-0.00136059) (-0.00241483,-0.00410739) (-0.00410579,0.00241453) (-1.84581e-06,-2.85557e-06) (-2.5145e-06,-1.32819e-06) (-1.32973e-06,2.50795e-06) (-3.70536e-08,-1.22174e-08) 
(9.43883e-06,-1.44294e-05) (1.79215e-10,1.37242e-10) (0.00337443,-0.00180346) (-0.00279381,-0.0044469) (0.00440886,-0.00276979) (-1.24057e-07,-2.84138e-07) (-2.4498e-06,-1.51797e-06) (-2.33868e-11,-1.08506e-10) (-0.00586187,0.00936364) (0.00279381,0.00444691) (0.00440885,-0.00276978) (1.24144e-07,2.84207e-07) (-2.47493e-06,-1.30543e-06) (1.30696e-06,-2.46839e-06) (-3.27388e-08,-1.39939e-08) (0.00241634,0.0041067) (-0.00410511,0.00241606) (1.86856e-06,2.89115e-06) (-8.73754e-06,-9.27607e-06) (6.50983e-11,9.97255e-11) (-0.00116197,-0.00135479) (-0.00241635,-0.00410671) (-0.00410511,0.00241606) (-1.86855e-06,-2.89142e-06) (-2.47514e-06,-1.30518e-06) (-1.30672e-06,2.46859e-06) (-3.70279e-08,-1.2254e-08) 
(9.40713e-06,-1.44456e-05) (1.79229e-10,1.37005e-10) (0.00337082,-0.00180308) (-0.00279517,-0.0044441) (0.0044061,-0.00277115) (-1.24682e-07,-2.85495e-07) (-2.44685e-06,-1.52618e-06) (-2.33821e-11,-1.08558e-10) (-0.00584969,0.00935164) (0.00279517,0.00444411) (0.00440609,-0.00277115) (1.24769e-07,2.85564e-07) (-2.43555e-06,-1.28243e-06) (1.28396e-06,-2.429e-06) (-3.27155e-08,-1.40278e-08) (0.00241787,0.004106) (-0.00410441,0.00241759) (1.89129e-06,2.92692e-06) (-8.74141e-06,-9.31532e-06) (6.51144e-11,9.95012e-11) (-0.00116204,-0.001349) (-0.00241787,-0.004106) (-0.00410441,0.00241758) (-1.89128e-06,-2.9272e-06) (-2.43576e-06,-1.28218e-06) (-1.28372e-06,2.4292e-06) (-3.7002e-08,-1.22901e-08) 
(9.37537e-06,-1.44615e-05) (1.79242e-10,1.36768e-10) (0.00336721,-0.00180271) (-0.00279652,-0.00444131) (0.00440337,-0.00277252) (-1.25307e-07,-2.8685e-07) (-2.44388e-06,-1.53438e-06) (-2.3377e-11,-1.08608e-10) (-0.00583747,0.00933956) (0.00279653,0.00444132) (0.00440336,-0.00277251) (1.25394e-07,2.86919e-07) (-2.39614e-06,-1.25944e-06) (1.26097e-06,-2.38959e-06) (-3.2692e-08,-1.40613e-08) (0.00241939,0.00410527) (-0.00410369,0.00241911) (1.91402e-06,2.96261e-06) (-8.74529e-06,-9.35447e-06) (6.51316e-11,9.9277e-11) (-0.00116212,-0.00134321) (-0.0024194,-0.00410528) (-0.00410368,0.0024191) (-1.914e-06,-2.96289e-06) (-2.39635e-06,-1.25919e-06) (-1.26073e-06,2.3898e-06) (-3.69758e-08,-1.23259e-08) 
(9.34355e-06,-1.44772e-05) (1.79256e-10,1.36534e-10) (0.00336361,-0.00180234) (-0.00279787,-0.00443854) (0.00440066,-0.00277387) (-1.25932e-07,-2.88203e-07) (-2.44088e-06,-1.54256e-06) (-2.33716e-11,-1.08657e-10) (-0.00582522,0.00932739) (0.00279787,0.00443855) (0.00440065,-0.00277386) (1.26018e-07,2.88272e-07) (-2.35672e-06,-1.23646e-06) (1.23799e-06,-2.35016e-06) (-3.26684e-08,-1.40945e-08) (0.00242091,0.00410452) (-0.00410294,0.00242064) (1.93674e-06,2.99822e-06) (-8.74919e-06,-9.39351e-06) (6.51498e-11,9.90526e-11) (-0.00116222,-0.00133743) (-0.00242092,-0.00410453) (-0.00410294,0.00242063) (-1.93672e-06,-2.9985e-06) (-2.35692e-06,-1.23621e-06) (-1.23775e-06,2.35037e-06) (-3.69494e-08,-1.23613e-08) 
(9.31166e-06,-1.44927e-05) (1.7927e-10,1.363e-10) (0.00336001,-0.00180197) (-0.0027992,-0.00443579) (0.00439796,-0.00277521) (-1.26557e-07,-2.89555e-07) (-2.43786e-06,-1.55072e-06) (-2.33658e-11,-1.08705e-10) (-0.00581293,0.00931513) (0.00279921,0.0044358) (0.00439795,-0.00277521) (1.26643e-07,2.89623e-07) (-2.31727e-06,-1.2135e-06) (1.21503e-06,-2.31071e-06) (-3.26447e-08,-1.41273e-08) (0.00242244,0.00410375) (-0.00410218,0.00242216) (1.95945e-06,3.03375e-06) (-8.75309e-06,-9.43245e-06) (6.51689e-11,9.88283e-11) (-0.00116232,-0.00133164) (-0.00242244,-0.00410376) (-0.00410217,0.00242215) (-1.95944e-06,-3.03402e-06) (-2.31748e-06,-1.21325e-06) (-1.21479e-06,2.31092e-06) (-3.69229e-08,-1.23963e-08) 
(9.27972e-06,-1.45079e-05) (1.79283e-10,1.36068e-10) (0.00335641,-0.00180161) (-0.00280053,-0.00443306) (0.00439528,-0.00277655) (-1.27182e-07,-2.90904e-07) (-2.43482e-06,-1.55887e-06) (-2.33598e-11,-1.08752e-10) (-0.00580061,0.0093028) (0.00280054,0.00443307) (0.00439527,-0.00277655) (1.27268e-07,2.90972e-07) (-2.2778e-06,-1.19055e-06) (1.19208e-06,-2.27125e-06) (-3.26209e-08,-1.41597e-08) (0.00242396,0.00410296) (-0.00410139,0.00242369) (1.98216e-06,3.06919e-06) (-8.757e-06,-9.47128e-06) (6.51891e-11,9.8604e-11) (-0.00116244,-0.00132586) (-0.00242397,-0.00410297) (-0.00410138,0.00242368) (-1.98214e-06,-3.06946e-06) (-2.27801e-06,-1.1903e-06) (-1.19183e-06,2.27145e-06) (-3.68961e-08,-1.2431e-08) 
(9.24772e-06,-1.4523e-05) (1.79297e-10,1.35837e-10) (0.00335282,-0.00180125) (-0.00280185,-0.00443035) (0.00439263,-0.00277788) (-1.27806e-07,-2.92251e-07) (-2.43175e-06,-1.567e-06) (-2.33534e-11,-1.08798e-10) (-0.00578825,0.00929038) (0.00280186,0.00443036) (0.00439262,-0.00277788) (1.27893e-07,2.92319e-07) (-2.23832e-06,-1.16761e-06) (1.16914e-06,-2.23176e-06) (-3.25969e-08,-1.41917e-08) (0.00242549,0.00410215) (-0.00410058,0.00242522) (2.00486e-06,3.10455e-06) (-8.76092e-06,-9.51002e-06) (6.52103e-11,9.83797e-11) (-0.00116257,-0.00132007) (-0.0024255,-0.00410215) (-0.00410057,0.00242521) (-2.00484e-06,-3.10482e-06) (-2.23853e-06,-1.16736e-06) (-1.1689e-06,2.23196e-06) (-3.68692e-08,-1.24652e-08) 
(9.21565e-06,-1.45379e-05) (1.79311e-10,1.35608e-10) (0.00334923,-0.0018009) (-0.00280317,-0.00442765) (0.00438998,-0.0027792) (-1.28431e-07,-2.93597e-07) (-2.42865e-06,-1.57512e-06) (-2.33467e-11,-1.08843e-10) (-0.00577586,0.00927787) (0.00280317,0.00442766) (0.00438997,-0.0027792) (1.28518e-07,2.93665e-07) (-2.19881e-06,-1.14469e-06) (1.14621e-06,-2.19226e-06) (-3.25728e-08,-1.42233e-08) (0.00242702,0.00410132) (-0.00409975,0.00242675) (2.02755e-06,3.13982e-06) (-8.76486e-06,-9.54865e-06) (6.52325e-11,9.81554e-11) (-0.00116271,-0.00131429) (-0.00242703,-0.00410132) (-0.00409974,0.00242674) (-2.02754e-06,-3.14009e-06) (-2.19902e-06,-1.14444e-06) (-1.14597e-06,2.19246e-06) (-3.6842e-08,-1.24991e-08) 
(9.18353e-06,-1.45526e-05) (1.79324e-10,1.3538e-10) (0.00334564,-0.00180055) (-0.00280447,-0.00442498) (0.00438736,-0.00278051) (-1.29056e-07,-2.9494e-07) (-2.42553e-06,-1.58322e-06) (-2.33398e-11,-1.08886e-10) (-0.00576344,0.00926529) (0.00280447,0.00442499) (0.00438735,-0.00278051) (1.29143e-07,2.95008e-07) (-2.1593e-06,-1.12178e-06) (1.1233e-06,-2.15274e-06) (-3.25486e-08,-1.42545e-08) (0.00242855,0.00410046) (-0.0040989,0.00242828) (2.05024e-06,3.17501e-06) (-8.7688e-06,-9.58719e-06) (6.52558e-11,9.79313e-11) (-0.00116286,-0.00130852) (-0.00242856,-0.00410047) (-0.00409889,0.00242827) (-2.05023e-06,-3.17528e-06) (-2.1595e-06,-1.12153e-06) (-1.12306e-06,2.15294e-06) (-3.68148e-08,-1.25326e-08) 
(9.15134e-06,-1.4567e-05) (1.79338e-10,1.35153e-10) (0.00334206,-0.0018002) (-0.00280576,-0.00442232) (0.00438476,-0.00278181) (-1.2968e-07,-2.96282e-07) (-2.42239e-06,-1.5913e-06) (-2.33326e-11,-1.08928e-10) (-0.00575097,0.00925262) (0.00280576,0.00442233) (0.00438475,-0.00278181) (1.29767e-07,2.96349e-07) (-2.11976e-06,-1.09888e-06) (1.10041e-06,-2.1132e-06) (-3.25243e-08,-1.42854e-08) (0.00243009,0.00409959) (-0.00409803,0.00242982) (2.07293e-06,3.21011e-06) (-8.77275e-06,-9.62562e-06) (6.528e-11,9.77072e-11) (-0.00116302,-0.00130274) (-0.00243009,-0.00409959) (-0.00409802,0.00242981) (-2.07291e-06,-3.21038e-06) (-2.11997e-06,-1.09863e-06) (-1.10016e-06,2.1134e-06) (-3.67873e-08,-1.25657e-08) 
(9.11909e-06,-1.45813e-05) (1.79351e-10,1.34928e-10) (0.00333848,-0.00179986) (-0.00280704,-0.00441967) (0.00438217,-0.00278311) (-1.30305e-07,-2.97621e-07) (-2.41922e-06,-1.59937e-06) (-2.33252e-11,-1.08969e-10) (-0.00573848,0.00923988) (0.00280705,0.00441968) (0.00438216,-0.0027831) (1.30392e-07,2.97688e-07) (-2.08021e-06,-1.076e-06) (1.07752e-06,-2.07365e-06) (-3.24999e-08,-1.43159e-08) (0.00243162,0.00409869) (-0.00409713,0.00243135) (2.0956e-06,3.24512e-06) (-8.77671e-06,-9.66396e-06) (6.53053e-11,9.74832e-11) (-0.00116319,-0.00129697) (-0.00243163,-0.0040987) (-0.00409713,0.00243135) (-2.09559e-06,-3.2454e-06) (-2.08042e-06,-1.07575e-06) (-1.07728e-06,2.07385e-06) (-3.67597e-08,-1.25983e-08) 
(9.08677e-06,-1.45953e-05) (1.79365e-10,1.34704e-10) (0.0033349,-0.00179953) (-0.00280832,-0.00441705) (0.0043796,-0.00278439) (-1.30929e-07,-2.98958e-07) (-2.41603e-06,-1.60742e-06) (-2.33176e-11,-1.09008e-10) (-0.00572594,0.00922705) (0.00280832,0.00441706) (0.00437959,-0.00278439) (1.31016e-07,2.99025e-07) (-2.04065e-06,-1.05313e-06) (1.05465e-06,-2.03408e-06) (-3.24754e-08,-1.43459e-08) (0.00243316,0.00409778) (-0.00409622,0.00243289) (2.11827e-06,3.28005e-06) (-8.78067e-06,-9.7022e-06) (6.53316e-11,9.72593e-11) (-0.00116337,-0.0012912) (-0.00243317,-0.00409778) (-0.00409622,0.00243289) (-2.11826e-06,-3.28033e-06) (-2.04085e-06,-1.05288e-06) (-1.05441e-06,2.03428e-06) (-3.67319e-08,-1.26306e-08) 
(9.0544e-06,-1.46091e-05) (1.79378e-10,1.34481e-10) (0.00333133,-0.0017992) (-0.00280958,-0.00441444) (0.00437704,-0.00278567) (-1.31553e-07,-3.00293e-07) (-2.41282e-06,-1.61544e-06) (-2.33098e-11,-1.09047e-10) (-0.00571337,0.00921415) (0.00280958,0.00441445) (0.00437703,-0.00278566) (1.3164e-07,3.0036e-07) (-2.00107e-06,-1.03028e-06) (1.0318e-06,-1.9945e-06) (-3.24508e-08,-1.43756e-08) (0.00243471,0.00409684) (-0.00409529,0.00243444) (2.14094e-06,3.31489e-06) (-8.78465e-06,-9.74034e-06) (6.5359e-11,9.70356e-11) (-0.00116356,-0.00128544) (-0.00243471,-0.00409685) (-0.00409528,0.00243443) (-2.14092e-06,-3.31517e-06) (-2.00128e-06,-1.03003e-06) (-1.03156e-06,1.99471e-06) (-3.6704e-08,-1.26625e-08) 
(9.02196e-06,-1.46228e-05) (1.79391e-10,1.3426e-10) (0.00332776,-0.00179887) (-0.00281083,-0.00441184) (0.00437451,-0.00278693) (-1.32176e-07,-3.01626e-07) (-2.40958e-06,-1.62346e-06) (-2.33018e-11,-1.09084e-10) (-0.00570077,0.00920117) (0.00281084,0.00441185) (0.0043745,-0.00278693) (1.32263e-07,3.01693e-07) (-1.96148e-06,-1.00744e-06) (1.00896e-06,-1.95491e-06) (-3.24262e-08,-1.4405e-08) (0.00243625,0.00409589) (-0.00409434,0.00243599) (2.1636e-06,3.34965e-06) (-8.78863e-06,-9.77838e-06) (6.53874e-11,9.6812e-11) (-0.00116376,-0.00127967) (-0.00243626,-0.00409589) (-0.00409433,0.00243598) (-2.16358e-06,-3.34992e-06) (-1.96169e-06,-1.00719e-06) (-1.00872e-06,1.95511e-06) (-3.6676e-08,-1.2694e-08) 
(8.98945e-06,-1.46362e-05) (1.79404e-10,1.3404e-10) (0.00332419,-0.00179855) (-0.00281208,-0.00440927) (0.00437199,-0.00278818) (-1.32799e-07,-3.02957e-07) (-2.40632e-06,-1.63145e-06) (-2.32936e-11,-1.09119e-10) (-0.00568812,0.00918811) (0.00281208,0.00440928) (0.00437198,-0.00278818) (1.32887e-07,3.03024e-07) (-1.92188e-06,-9.84623e-07) (9.86143e-07,-1.91531e-06) (-3.24015e-08,-1.44339e-08) (0.0024378,0.00409491) (-0.00409337,0.00243754) (2.18626e-06,3.38431e-06) (-8.79262e-06,-9.81633e-06) (6.54168e-11,9.65886e-11) (-0.00116397,-0.00127391) (-0.00243781,-0.00409492) (-0.00409336,0.00243753) (-2.18624e-06,-3.38458e-06) (-1.92209e-06,-9.84373e-07) (-9.85901e-07,1.91551e-06) (-3.66478e-08,-1.27251e-08) 
