#NEi 400
#NR 1
#lmax 2
#mmax 2

R l=0,m=0_x l=0,m=0_y l=0,m=0_z l=1,m=-1_x l=1,m=-1_y l=1,m=-1_z l=1,m=0_x l=1,m=0_y l=1,m=0_z l=1,m=1_x l=1,m=1_y l=1,m=1_z l=2,m=-2_x l=2,m=-2_y l=2,m=-2_z l=2,m=-1_x l=2,m=-1_y l=2,m=-1_z l=2,m=0_x l=2,m=0_y l=2,m=0_z l=2,m=1_x l=2,m=1_y l=2,m=1_z l=2,m=2_x l=2,m=2_y l=2,m=2_z 
1.0 (-2.0906e-06,8.74742e-06) (-1.1371e-10,-2.16967e-12) (-0.00375841,0.00709856) (6.1485e-05,-0.00208253) (0.00208829,6.16188e-05) (-1.06353e-07,-6.59243e-07) (4.98664e-06,2.19506e-06) (2.21752e-10,-2.7609e-12) (-0.00442983,0.000411088) (-6.14873e-05,0.00208253) (0.00208829,6.16164e-05) (1.05973e-07,6.59207e-07) (-1.37199e-07,-2.38685e-07) (2.41212e-07,-1.36134e-07) (1.06185e-07,-4.51672e-09) (-0.00048403,0.00146456) (-0.00147005,-0.00048566) (9.04085e-07,-2.98085e-06) (-3.84623e-06,1.28677e-06) (3.13268e-10,-2.4118e-11) (0.0153943,0.002526) (0.000484026,-0.00146457) (-0.00147004,-0.000485663) (-9.0381e-07,2.98111e-06) (-1.37134e-07,-2.38728e-07) (-2.41255e-07,1.36054e-07) (1.05727e-07,-1.09712e-08) 
(-2.09021e-06,8.77393e-06) (-1.1383e-10,-2.04442e-12) (-0.00374795,0.00709363) (6.13129e-05,-0.00207175) (0.00207756,6.14453e-05) (-1.07453e-07,-6.64503e-07) (4.98237e-06,2.19637e-06) (2.21566e-10,-3.03331e-12) (-0.00442858,0.000414795) (-6.13152e-05,0.00207175) (0.00207756,6.14429e-05) (1.07072e-07,6.64468e-07) (-1.45316e-07,-2.58308e-07) (2.6083e-07,-1.44243e-07) (1.06072e-07,-4.4351e-09) (-0.00048687,0.00148046) (-0.00148596,-0.000488501) (9.06396e-07,-2.99921e-06) (-3.83695e-06,1.29567e-06) (3.13861e-10,-2.35932e-11) (0.015371,0.002514) (0.000486866,-0.00148047) (-0.00148596,-0.000488505) (-9.06114e-07,2.99946e-06) (-1.45251e-07,-2.58351e-07) (-2.60872e-07,1.44161e-07) (1.05618e-07,-1.08808e-08) 
(-2.08977e-06,8.80042e-06) (-1.13939e-10,-1.89266e-12) (-0.00373747,0.00708867) (6.11586e-05,-0.00206098) (0.00206683,6.12896e-05) (-1.08555e-07,-6.69758e-07) (4.97809e-06,2.19767e-06) (2.21389e-10,-3.268e-12) (-0.0044273,0.000418524) (-6.11609e-05,0.00206098) (0.00206683,6.12872e-05) (1.08172e-07,6.69723e-07) (-1.53443e-07,-2.77914e-07) (2.80431e-07,-1.52361e-07) (1.0596e-07,-4.35483e-09) (-0.00048968,0.00149636) (-0.00150187,-0.000491312) (9.08668e-07,-3.01756e-06) (-3.82763e-06,1.30454e-06) (3.14363e-10,-2.3228e-11) (0.0153477,0.00250209) (0.000489677,-0.00149636) (-0.00150187,-0.000491316) (-9.0838e-07,3.01781e-06) (-1.53377e-07,-2.77956e-07) (-2.80473e-07,1.5228e-07) (1.05509e-07,-1.07917e-08) 
(-2.08929e-06,8.82688e-06) (-1.1404e-10,-1.72031e-12) (-0.00372697,0.00708368) (6.10218e-05,-0.00205021) (0.0020561,6.11514e-05) (-1.09658e-07,-6.75008e-07) (4.97381e-06,2.19897e-06) (2.21219e-10,-3.47318e-12) (-0.00442598,0.000422273) (-6.10241e-05,0.00205021) (0.0020561,6.11491e-05) (1.09274e-07,6.74973e-07) (-1.61581e-07,-2.97502e-07) (3.00015e-07,-1.6049e-07) (1.05848e-07,-4.27592e-09) (-0.000492461,0.00151225) (-0.00151778,-0.000494093) (9.109e-07,-3.03589e-06) (-3.81827e-06,1.31338e-06) (3.14795e-10,-2.29877e-11) (0.0153242,0.00249027) (0.000492457,-0.00151225) (-0.00151777,-0.000494097) (-9.10608e-07,3.03614e-06) (-1.61515e-07,-2.97544e-07) (-3.00056e-07,1.60408e-07) (1.054e-07,-1.0704e-08) 
(-2.08876e-06,8.85332e-06) (-1.14134e-10,-1.53156e-12) (-0.00371646,0.00707865) (6.09023e-05,-0.00203944) (0.00204537,6.10305e-05) (-1.10762e-07,-6.80253e-07) (4.96952e-06,2.20027e-06) (2.21053e-10,-3.6546e-12) (-0.00442462,0.000426044) (-6.09047e-05,0.00203944) (0.00204537,6.10282e-05) (1.10378e-07,6.80219e-07) (-1.69729e-07,-3.17073e-07) (3.1958e-07,-1.6863e-07) (1.05735e-07,-4.19837e-09) (-0.000495211,0.00152814) (-0.00153368,-0.000496844) (9.13094e-07,-3.05422e-06) (-3.80888e-06,1.3222e-06) (3.15171e-10,-2.2848e-11) (0.0153007,0.00247855) (0.000495207,-0.00152815) (-0.00153368,-0.000496848) (-9.12797e-07,3.05446e-06) (-1.69662e-07,-3.17114e-07) (-3.19621e-07,1.68547e-07) (1.05291e-07,-1.06176e-08) 
(-2.0882e-06,8.87974e-06) (-1.14223e-10,-1.3294e-12) (-0.00370593,0.00707359) (6.07999e-05,-0.00202867) (0.00203465,6.09267e-05) (-1.11867e-07,-6.85492e-07) (4.96523e-06,2.20157e-06) (2.2089e-10,-3.81641e-12) (-0.00442323,0.000429835) (-6.08023e-05,0.00202868) (0.00203465,6.09244e-05) (1.11482e-07,6.85459e-07) (-1.77888e-07,-3.36625e-07) (3.39127e-07,-1.7678e-07) (1.05623e-07,-4.1222e-09) (-0.000497931,0.00154403) (-0.00154958,-0.000499565) (9.15249e-07,-3.07253e-06) (-3.79945e-06,1.33099e-06) (3.15503e-10,-2.27914e-11) (0.0152771,0.00246692) (0.000497927,-0.00154403) (-0.00154958,-0.000499569) (-9.14949e-07,3.07277e-06) (-1.7782e-07,-3.36666e-07) (-3.39168e-07,1.76697e-07) (1.05182e-07,-1.05325e-08) 
(-2.08759e-06,8.90613e-06) (-1.14308e-10,-1.11603e-12) (-0.00369539,0.0070685) (6.07143e-05,-0.00201791) (0.00202393,6.08397e-05) (-1.12974e-07,-6.90726e-07) (4.96093e-06,2.20287e-06) (2.20731e-10,-3.96157e-12) (-0.0044218,0.000433647) (-6.07167e-05,0.00201791) (0.00202393,6.08373e-05) (1.12589e-07,6.90693e-07) (-1.86057e-07,-3.56158e-07) (3.58655e-07,-1.8494e-07) (1.05511e-07,-4.04744e-09) (-0.000500621,0.00155992) (-0.00156549,-0.000502256) (9.17364e-07,-3.09082e-06) (-3.78998e-06,1.33975e-06) (3.15799e-10,-2.28054e-11) (0.0152535,0.00245538) (0.000500617,-0.00155992) (-0.00156548,-0.00050226) (-9.17062e-07,3.09107e-06) (-1.85989e-07,-3.56199e-07) (-3.58696e-07,1.84857e-07) (1.05073e-07,-1.04489e-08) 
(-2.08694e-06,8.93251e-06) (-1.1439e-10,-8.93047e-13) (-0.00368483,0.00706338) (6.06452e-05,-0.00200715) (0.00201321,6.07691e-05) (-1.14081e-07,-6.95955e-07) (4.95664e-06,2.20417e-06) (2.20573e-10,-4.09228e-12) (-0.00442033,0.000437479) (-6.06476e-05,0.00200715) (0.0020132,6.07668e-05) (1.13696e-07,6.95921e-07) (-1.94237e-07,-3.75672e-07) (3.78164e-07,-1.93112e-07) (1.05399e-07,-3.97414e-09) (-0.000503281,0.0015758) (-0.00158139,-0.000504917) (9.1944e-07,-3.1091e-06) (-3.78047e-06,1.34849e-06) (3.16066e-10,-2.28805e-11) (0.0152297,0.00244394) (0.000503278,-0.00157581) (-0.00158138,-0.000504921) (-9.19136e-07,3.10936e-06) (-1.94169e-07,-3.75713e-07) (-3.78205e-07,1.93029e-07) (1.04964e-07,-1.03666e-08) 
(-2.08626e-06,8.95887e-06) (-1.14469e-10,-6.61623e-13) (-0.00367426,0.00705823) (6.05925e-05,-0.00199639) (0.00200249,6.07149e-05) (-1.15189e-07,-7.01177e-07) (4.95236e-06,2.20548e-06) (2.20417e-10,-4.2101e-12) (-0.00441882,0.000441331) (-6.05948e-05,0.00199639) (0.00200249,6.07126e-05) (1.14804e-07,7.01143e-07) (-2.02428e-07,-3.95167e-07) (3.97654e-07,-2.01294e-07) (1.05287e-07,-3.90248e-09) (-0.000505912,0.00159169) (-0.00159728,-0.000507548) (9.21475e-07,-3.12736e-06) (-3.77092e-06,1.35721e-06) (3.16308e-10,-2.30099e-11) (0.0152059,0.00243258) (0.000505908,-0.00159169) (-0.00159728,-0.000507552) (-9.21171e-07,3.12763e-06) (-2.0236e-07,-3.95208e-07) (-3.97695e-07,2.01211e-07) (1.04855e-07,-1.02859e-08) 
(-2.08556e-06,8.98523e-06) (-1.14546e-10,-4.22556e-13) (-0.00366368,0.00705307) (6.05557e-05,-0.00198563) (0.00199177,6.06767e-05) (-1.16297e-07,-7.06392e-07) (4.94812e-06,2.20679e-06) (2.20263e-10,-4.31613e-12) (-0.00441726,0.000445203) (-6.05581e-05,0.00198563) (0.00199177,6.06744e-05) (1.15912e-07,7.06358e-07) (-2.1063e-07,-4.14642e-07) (4.17124e-07,-2.09488e-07) (1.05175e-07,-3.83286e-09) (-0.000508512,0.00160757) (-0.00161318,-0.000510149) (9.23466e-07,-3.14559e-06) (-3.76131e-06,1.3659e-06) (3.16528e-10,-2.31888e-11) (0.015182,0.00242131) (0.000508508,-0.00160757) (-0.00161318,-0.000510153) (-9.23164e-07,3.14587e-06) (-2.10562e-07,-4.14683e-07) (-4.17165e-07,2.09405e-07) (1.04746e-07,-1.02072e-08) 
